sbj,fc,SSC gaze shift,LSC gaze shift,all gaze shift
01,0.9204371062260482,0.36971830985915494,0.5604395604395604,0.5031210986267166
02,0.9057105170087123,0.37142857142857144,0.5437956204379562,0.4929936305732484
03,0.8611235870616856,0.4065934065934066,0.5073529411764706,0.5063613231552163
04,0.7765567002441874,0.39763779527559057,0.5135135135135135,0.4739970282317979
06,0.8505679710545191,0.36140350877192984,0.47101449275362317,0.4613466334164589
10,0.8743594569828231,0.3709090909090909,0.4552238805970149,0.41304347826086957
14,0.822425265565433,0.3574007220216607,0.5387453874538746,0.47588832487309646
15,0.8222211286611851,0.4103448275862069,0.41818181818181815,0.43246592317224286
16,0.7907780038204621,0.3726235741444867,0.46443514644351463,0.46787709497206703
17,0.8450175895560805,0.4529616724738676,0.5942028985507246,0.5297029702970297
18,0.8876425660751545,0.4007220216606498,0.5656934306569343,0.5182389937106918
19,0.6861639463968369,0.296551724137931,0.5218978102189781,0.44870210135970334
